Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22032021,770196591,0001836
Trade Date <22-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,395,DPWIRES,EQ,4378,3007,68.68
20,396,DREDGECORP,EQ,1269550,144234,11.36
20,397,DRREDDY,EQ,867303,306811,35.38
20,398,DSSL,EQ,121021,54500,45.03
20,399,DTIL,EQ,3458,2139,61.86
20,400,DUCON,EQ,194980,149566,76.71
20,401,DVL,EQ,20410,12691,62.18
20,402,DWARKESH,EQ,1357437,402106,29.62
20,403,DYNAMATECH,EQ,16232,7707,47.48
20,404,DYNPRO,EQ,34424,19559,56.82
20,405,E2E,SM,4000,4000,100.00
20,406,EASEMYTRIP,EQ,6635749,1941419,29.26
20,407,EBANK,EQ,8,7,87.50
20,408,EBBETF0423,EQ,6044,6041,99.95
20,409,EBBETF0425,EQ,3746,3091,82.51
20,410,EBBETF0430,EQ,14817,10864,73.32
20,411,EBBETF0431,EQ,32007,30959,96.73
20,412,EBIXFOREX,EQ,1577,952,60.37
20,413,ECLERX,EQ,13544,6640,49.03
20,414,ECLFINANCE,NE,30,30,100.00
20,415,ECLFINANCE,NF,325,325,100.00
20,416,ECLFINANCE,NG,2370,1970,83.12
20,417,ECLFINANCE,NH,25,25,100.00
20,418,ECLFINANCE,NI,200,200,100.00
20,419,ECLFINANCE,NJ,135,127,94.07
20,420,ECLFINANCE,NK,435,385,88.51
20,421,ECLFINANCE,NM,250,250,100.00
20,422,ECLFINANCE,NN,1338,1093,81.69
20,423,ECLFINANCE,NP,49,49,100.00
20,424,ECLFINANCE,NR,4051,3579,88.35
20,425,ECLFINANCE,NS,627,580,92.50
20,426,EDELWEISS,EQ,2462425,1260455,51.19
20,427,EHFLNCD,N3,59,59,100.00
20,428,EHFLNCD,N5,354,300,84.75
20,429,EHFLNCD,N6,519,519,100.00
20,430,EICHERMOT,EQ,694227,271604,39.12
20,431,EIDPARRY,EQ,117805,54132,45.95
20,432,EIFFL,SM,800,800,100.00
20,433,EIHAHOTELS,EQ,2737,1879,68.65
20,434,EIHOTEL,EQ,629808,225717,35.84
20,435,EIMCOELECO,EQ,1759,1524,86.64
20,436,EKC,EQ,327822,120839,36.86
20,437,ELECON,EQ,415821,217614,52.33
20,438,ELECTCAST,EQ,320207,197969,61.83
20,439,ELECTHERM,EQ,12265,6279,51.19
20,440,ELGIEQUIP,EQ,39491,21406,54.20
20,441,ELGIRUBCO,EQ,16741,12882,76.95
20,442,EMAMILTD,EQ,183674,87952,47.88
20,443,EMAMIPAP,EQ,373624,88485,23.68
20,444,EMAMIREAL,EQ,27367,21049,76.91
20,445,EMBASSY,RR,282000,233400,82.77
20,446,EMKAY,EQ,43465,24623,56.65
20,447,EMMBI,EQ,47229,26148,55.36
20,448,EMOFSR1RDP,MF,6000,6000,100.00
20,449,EMOFSR1RGG,MF,97571,91971,94.26
20,450,ENDURANCE,EQ,184891,80256,43.41
20,451,ENGINERSIN,EQ,2678626,931097,34.76
20,452,ENIL,EQ,98475,59807,60.73
20,453,EPL,EQ,480823,152742,31.77
20,454,EQ30,EQ,10,10,100.00
20,455,EQUITAS,EQ,1312104,449112,34.23
20,456,EQUITASBNK,EQ,824801,378985,45.95
20,457,ERFLNCDI,N6,160,160,100.00
20,458,ERIS,EQ,81972,31121,37.97
20,459,EROSMEDIA,EQ,265610,204146,76.86
20,460,ESABINDIA,EQ,4173,1847,44.26
20,461,ESCORTS,EQ,790865,164080,20.75
20,462,ESSARSHPNG,EQ,157974,60344,38.20
20,463,ESTER,EQ,343986,156449,45.48
20,464,EVEREADY,EQ,286628,107446,37.49
20,465,EVERESTIND,EQ,38657,19295,49.91
20,466,EXCEL,EQ,283507,230330,81.24
20,467,EXCELINDUS,EQ,10933,4825,44.13
20,468,EXIDEIND,EQ,3211914,1073848,33.43
20,469,EXPLEOSOL,EQ,20233,11656,57.61
20,470,FACT,EQ,949441,237716,25.04
20,471,FAIRCHEMOR,EQ,16833,8478,50.37
20,472,FCL,EQ,226468,142723,63.02
20,473,FCONSUMER,EQ,9400995,4388923,46.69
20,474,FDC,EQ,92629,40750,43.99
20,475,FEDERALBNK,EQ,16327873,2526010,15.47
20,476,FEL,EQ,2029625,884206,43.56
20,477,FELDVR,EQ,57993,29858,51.49
20,478,FELIX,SM,12000,12000,100.00
20,479,FIEMIND,EQ,14368,7659,53.31
20,480,FILATEX,EQ,284977,157713,55.34
20,481,FINCABLES,EQ,128271,57765,45.03
20,482,FINEORG,EQ,19012,8258,43.44
20,483,FINPIPE,EQ,83620,38341,45.85
20,484,FLFL,EQ,1146553,287590,25.08
20,485,FLUOROCHEM,EQ,44911,12526,27.89
20,486,FMGOETZE,EQ,5134,4081,79.49
20,487,FMNL,EQ,44029,20625,46.84
